x,y
1850,617
1851,617
1852,617
1853,614
1854,612
1855,610
1856,610
1857,610
1858,612
1859,612
1860,612
1861,612
1862,612
1863,612
1864,612
1865,612
1866,610
1867,611
1868,608
1869,608
1870,608
1871,606
1872,606
1873,604
1874,603
1875,602
1876,602
1877,602
1878,602
1879,602
1880,602
1881,602
1882,601
1883,599
1884,598
1885,598
1886,599
1887,601
1888,603
1889,603
1890,603
1891,602
1892,603
1893,603
1894,603
1895,600
1896,600
1897,600
1898,601
1899,604
1900,604
1901,604
1902,602
1903,603
1904,603
1905,604
1906,604
1907,602
1908,603
1909,602
1910,602
1911,602
1912,604
1913,604
1914,604
1915,605
1916,606
1917,608
1918,608
1919,607
1920,607
1921,603
1922,603
1923,603
1924,604
1925,604
1926,602
1927,599
1928,599
1929,598
1930,598
1931,599
1932,599
1933,602
1934,602
1935,602
1936,602
1937,604
1938,602
1939,602
1940,602
1941,602
1942,606
1943,606
1944,608
1945,608
1946,608
1947,608
1948,608
1949,608
1950,608
1951,606
1952,606
1953,604
1954,605
1955,606
1956,608
1957,608
1958,608
1959,608
1960,608
1961,608
1962,608
1963,608
1964,607
1965,607
1966,604
1967,603
1968,603
1969,604
1970,604
1971,604
1972,604
1973,604
1974,604
1975,604
1976,604
1977,604
1978,602
1979,602
1980,602
1981,602
1982,602
1983,602
1984,602
1985,602
1986,602
1987,602
1988,602
1989,602
1990,602
1991,602
1992,599
1993,596
1994,593
1995,591
1996,590
1997,592
1998,592
1999,591
2000,591
2001,588
2002,587
2003,586
2004,585
2005,581
2006,581
2007,578
2008,578
2009,578
2010,578
2011,575
2012,575
2013,572
2014,572
2015,571
2016,569
2017,567
2018,563
2019,562
2020,562
2021,562
2022,562
2023,559
2024,558
2025,556
2026,553
2027,553
2028,553
2029,550
2030,548
2031,545
2032,545
2033,545
2034,546
2035,545
2036,544
2037,540
2038,539
2039,537
2040,536
2041,536
2042,531
2043,529
2044,525
2045,521
2046,520
2047,518
2048,516
2049,515
2050,513
2051,512
2052,508
2053,509
2054,506
2055,504
2056,498
2057,496
2058,490
2059,487
2060,486
2061,481
2062,481
2063,477
2064,472
2065,470
2066,465
2067,465
2068,462
2069,458
2070,455
2071,448
2072,445
2073,441
2074,438
2075,435
2076,433
2077,429
2078,425
2079,421
2080,416
2081,416
2082,410
2083,406
2084,398
2085,395
2086,387
2087,386
2088,382
2089,379
2090,374
2091,371
2092,366
2093,364
2094,359
2095,354
2096,351
2097,344
2098,342
2099,336
2100,333
2101,332
2102,330
2103,325
2104,324
2105,320
2106,317
2107,316
2108,308
2109,307
2110,301
2111,297
2112,296
2113,291
2114,290
2115,289
2116,285
2117,285
2118,283
2119,282
2120,278
2121,275
2122,268
2123,265
2124,260
2125,259
2126,256
2127,256
2128,252
2129,249
2130,244
2131,241
2132,238
2133,236
2134,233
2135,227
2136,222
2137,217
2138,213
2139,211
2140,209
